,x,y,z,img
122,-12.5633135,-71.76828,168.15315,Reservoir_2005
123,-39.199543,118.49505,-17.385992,Image_2005
124,-98.96467,-66.136604,16.259039,Regime_2005
125,35.23881,126.319084,3.1428287,Border_2005
126,15.636844,143.50923,-78.22226,Storey_2005
127,30.207638,-74.1527,69.28784,Circle_2006
128,10.720813,-45.233093,91.414566,Memo_2006
129,67.42708,-33.64272,-109.33766,Contact_2006
130,-143.61943,12.111045,62.796375,Collage_2006
131,84.37143,74.774345,79.50716,Filter_2006
132,-80.06256,-15.5590515,-82.62839,Corner_2006
133,-39.588894,117.876625,61.185425,Bloom_2006
134,68.88324,-44.01948,24.642887,Fringe_2006
135,16.905003,164.3522,-26.154907,Array_2006
136,-139.92361,29.825308,-69.795235,Cycle_2006
137,-82.68888,-98.50851,97.19197,Interlude_2006
138,-95.48828,-109.87748,18.854942,Studio_2006
139,-96.5757,145.73328,-24.437086,Arcade_2006
140,-49.673195,132.37115,128.8967,Mirage_2006
141,-14.812416,-24.79493,153.5199,Sector_2006
142,64.22972,129.90036,-47.662807,Entrance_2006
143,14.91755,-94.2868,-145.58128,Square_2006
144,130.86461,69.700485,-95.35377,Screen_2006
145,75.38502,75.03929,-67.78521,Network_2006
146,43.339733,91.32638,-49.16457,Presence_2006
147,-44.05875,-78.32421,-0.75978684,Exposure_2007
148,119.755585,55.993824,52.93997,Base_2007
149,75.69667,-75.347534,65.48766,Center_2007
150,-89.93224,39.836853,-31.262157,Access_2007
151,-79.797615,3.3669763,146.713,Aperture_2007
152,4.183157,153.3872,82.23882,Detail_2007
153,-81.12092,50.12861,76.316376,Dynasty_2007
154,-30.738714,-127.23003,20.292295,Living_2007
155,56.929214,77.66554,41.374233,Passage_2007
156,-68.91068,142.47116,72.356445,Bouquet_2008
157,-72.17757,68.01726,31.45291,Forum_2008
158,-3.030172,83.40547,7.7331305,House_2008
159,51.144787,161.2557,39.355698,Territory_2008
160,75.9786,101.818665,-5.760341,Labyrinth_2008
161,-105.60176,-36.269974,-21.820219,Cluster_2008
162,-59.872887,52.66988,-97.03417,Atmosphere_2008
163,-62.966293,113.37905,-60.811195,Volume_2008
164,95.90034,93.61509,11.889828,Support_2008
165,-3.8178911,-78.95861,22.080723,Junction_2008
166,-34.734913,150.55394,-55.062992,Spectrum_2008
167,154.53242,68.84712,14.776374,Replica_2008
168,-51.066235,82.01544,156.71086,Control_2008
169,-132.315,134.50081,12.889428,Nature_2008
170,-47.852364,-108.61327,109.63102,Project_2008
171,-63.07363,-43.19978,-48.030563,Property_2008
172,-16.155046,109.648735,92.84559,Summit_2008
173,94.58649,-58.20942,-77.37798,Transition_2008
174,-158.08887,-45.210915,42.291187,Site_2008
175,-8.556222,-127.24795,66.76682,Matrix_2008
176,-55.319942,-41.14986,90.87709,Monitor_2008(missing)
177,-78.45687,124.93808,122.07637,Flood_2009
178,26.487316,12.909847,151.20003,Picture a Mirror_2009
179,97.40013,128.00505,59.268875,Matter_2009
180,-67.87935,-132.46632,-18.427162,Play_2009
181,133.06114,18.714777,15.630995,Race_2009
182,-110.169174,12.3991995,94.74647,Condominium_2010
183,-43.88044,84.481865,88.67088,The English House_2010
184,-35.701084,34.179935,46.480865,Green Zone_2010
185,3.75743,-90.52807,-80.343475,SuperVision_2010
186,-19.693485,38.94044,169.88342,China Halo_2010
187,-101.35682,73.54947,-67.49508,Crossover_2010
188,-124.66983,60.440907,84.16978,Premises (in Red)_2010
189,-124.506256,-75.81445,30.018446,One Brilliant Complex_2011
190,45.367577,-105.59653,-47.670933,The Approach_2011
191,97.78548,-43.335243,-13.996905,Double Standard_2012
192,-63.327904,19.485712,14.575117,Plot Ratio_2012
193,-55.433224,-90.921906,50.009655,Synchronicity_2012
194,130.52654,-2.2804515,-115.25621,Costa Blanca_2012
195,121.3728,-39.170856,125.675156,Flatland_2012
196,-133.57448,93.43321,35.0069,Hotel Opportunity_2012
197,-52.96956,-149.004,-76.62481,Mission Interlude_2012
198,-15.39769,-59.126736,-93.58768,Multi Story Building_2012
199,9.367575,116.176575,47.499577,Timeport_2012
200,-78.384636,144.34117,25.327206,Hollywood_2013
201,-71.14555,27.779238,-75.96745,Megalopolis_2013
202,-97.180405,68.189735,123.77644,Paramount_2013
203,-3.4455605,67.98725,50.175354,Thriller_2013
204,-109.0712,-80.34628,70.57991,Capital no Capital_2013
205,-83.7666,100.91549,72.46997,California_2013
206,-54.07392,-97.72489,-61.441658,Levante_2013
207,-15.877285,42.091274,91.07078,Propitious Grounds_2013
208,-76.58099,-15.904511,59.84354,The Strip_2013
209,-104.73067,97.79427,-20.151068,Treasure Gathering Square_2013
210,-161.62183,-64.907364,-29.71406,The Crossroads_2014
211,-121.927666,-88.99349,-37.041332,The Deal_2015
212,-132.19987,92.241035,-3.2228963,Panacea_2015
213,40.389427,-66.28075,0.20710401,Wonderland_2015
214,-49.188892,62.02629,123.24748,Momentum_2016
215,-19.336021,-77.38314,76.27171,The Next Level_2016
216,160.4034,33.63371,-77.48329,UN_2016
217,40.787056,-149.21814,65.63131,Entracte_2016
218,37.62922,-98.2496,-93.8864,Performance_2017
219,-85.21014,-82.820305,-28.948433,The Valley Continuum_2018
